### MNXref Version 18/02/2013 ###
#
#FILE:	comp_xref.tsv
#
#RESOURCE:	The Gene Ontology
#PREFIX:	go
#URL:	http://www.geneontology.org
#VERSION:	09/06/2012
#LICENSE:	The GO Consortium gives permission for any of its products to be used 
#	without license for any purpose under three conditions: 
#	 1- That the Gene Ontology Consortium is clearly acknowledged as the source of 
#	the product; 
#	 2- That any GO Consortium file(s) displayed publicly include the date(s) and/or 
#	version number(s) of the relevant GO file(s) (the GO is evolving and changes will 
#	occur with time); 
#	 3- That neither the content of the GO file(s) nor the logical relationships embedded 
#	within the GO file(s) be altered in any way. 
#	(http://www.geneontology.org/GO.cite.shtml) 
#
#RESOURCE:	The Cell Component Ontology
#PREFIX:	cco
#URL:	http://bioinformatics.ai.sri.com/CCO/
#VERSION:	Version 16.5
#LICENSE:	MetaCyc data are free and open for all users. 
#	(http://biocyc.org/download.shtml) 
#
#RESOURCE:	BiGG
#PREFIX:	bigg
#URL:	http://bigg.ucsd.edu
#VERSION:	10/12/2012
#LICENSE:	Permission to use, copy, modify and distribute any part of this BiGG Database 
#	for educational, research and non-profit purposes, without fee, and without a 
#	written agreement is granted, provided that the above copyright notice, this paragraph 
#	and the following three paragraphs appear in all copies. 
#	Those desiring to incorporate this BiGG database into commercial products or use 
#	for commercial purposes should contact the Technology Transfer & Intellectual 
#	Property Services, University of California, San Diego, 9500 Gilman Drive, Mail 
#	Code 0910, La Jolla, CA 92093-0910, Ph: (858) 534-5815, FAX: (858) 534-7345, e-mail:invent@ucsd.edu. 
#	IN NO EVENT SHALL THE UNIVERSITY OF CALIFORNIA BE LIABLE TO ANY PARTY FOR DIRECT, 
#	INDIRECT, SPECIAL, INCIDENTAL, OR CONSEQUENTIAL DAMAGES, INCLUDING LOST PROFITS, 
#	ARISING OUT OF THE USE OF THIS BIGG DATABASE, EVEN IF THE UNIVERSITY OF CALIFORNIA 
#	HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. 
#	THE BIGG DATABASE PROVIDED HEREIN IS ON AN "AS IS" BASIS, AND THE UNIVERSITY OF 
#	CALIFORNIA HAS NO OBLIGATION TO PROVIDE MAINTENANCE, SUPPORT, UPDATES, ENHANCEMENTS, 
#	OR MODIFICATIONS. THE UNIVERSITY OF CALIFORNIA MAKES NO REPRESENTATIONS AND EXTENDS 
#	NO WARRANTIES OF ANY KIND, EITHER IMPLIED OR EXPRESS, INCLUDING, BUT NOT LIMITED 
#	TO, THE IMPLIED WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE, 
#	OR THAT THE USE OF THE BIGG DATABASE WILL NOT INFRINGE ANY PATENT, TRADEMARK OR 
#	OTHER RIGHTS. 
#	(http://bigg.ucsd.edu/) 
#
#
#XREF	MNX_ID	Description
bigg:a	MNXC29	acidocalcisome
bigg:c	MNXC3	cytoplasm
bigg:e	MNXC2	extra-organism|extracellular|extraorganism
bigg:f	MNXC28	flagellum
bigg:g	MNXC15	golgi
bigg:gm	MNXC16	golgi membrane
bigg:h	MNXC8	chloroplast
bigg:i	MNXC25	apicoplast
bigg:l	MNXC17	lysosome
bigg:m	MNXC4	mitochondrion
bigg:mm	MNXC5	mitochondrial membrane
bigg:n	MNXC6	nucleus
bigg:nm	MNXC7	nuclear membrane
bigg:o	MNXC24	glyoxysomes
bigg:p	MNXC19	periplasm
bigg:pm	MNXC20	plasma membrane
bigg:r	MNXC11	endoplasmatic reticulum
bigg:rm	MNXC12	ER membrane
bigg:s	MNXC18	plastid
bigg:v	MNXC9	vacuole
bigg:vm	MNXC10	vacuolar membrane
bigg:x	MNXC13	peroxisome
bigg:xm	MNXC14	peroxisomal membrane
bigg:y	MNXC23	glycosome
cco:CCO-AMYLOPLAST	MNXC18	amyloplast
cco:CCO-CE-BAC	MNXC1	cell envelope (sensu Bacteria)
cco:CCO-CE-BAC-NEG	MNXC1	cell envelope (sensu Gram-negative Bacteria)
cco:CCO-CE-BAC-POS	MNXC1	cell envelope (sensu Gram-positive Bacteria)
cco:CCO-CELL-FRACT	MNXC1	cell fraction
cco:CCO-CELLWALL	MNXC22	cell wall
cco:CCO-CHL-IM-SPC	MNXC1	chloroplast intermembrane space
cco:CCO-CHL-STKD-THY	MNXC1	chloroplast stacked thylakoid
cco:CCO-CHL-STR-THY	MNXC8	chloroplast stromal thylakoid
cco:CCO-CHL-THY-LUM	MNXC1	chloroplast thylakoid lumen
cco:CCO-CHL-THY-MEM	MNXC1	chloroplast thylakoid membrane
cco:CCO-CHLOR-ENV	MNXC8	chloroplast envelope
cco:CCO-CHLOR-IMEM	MNXC8	chloroplast inner membrane
cco:CCO-CHLOR-MEM	MNXC1	chloroplast membrane
cco:CCO-CHLOR-OMEM	MNXC21	chloroplast outer membrane
cco:CCO-CHLOR-STR	MNXC8	chloroplast stroma
cco:CCO-CHLOR-THY	MNXC1	chloroplast thylakoid
cco:CCO-CHLOROPLAST	MNXC8	chloroplast
cco:CCO-CHR-IM-SPC	MNXC1	chromoplast intermembrane space
cco:CCO-CHROM-ENV	MNXC1	chromoplast envelope
cco:CCO-CHROM-IMEM	MNXC1	chromoplast inner membrane
cco:CCO-CHROM-MEM	MNXC18	chromoplast membrane
cco:CCO-CHROM-OMEM	MNXC1	chromoplast outer membrane
cco:CCO-CHROM-STR	MNXC18	chromoplast stroma
cco:CCO-CHROMOPLAST	MNXC18	chromoplast
cco:CCO-CLATH-END-VES	MNXC3	clathrin-coated endocytic vesicle
cco:CCO-CLATH-VES	MNXC3	clathrin-coated vesicle
cco:CCO-COATED-VES	MNXC3	coated vesicle
cco:CCO-COPI-VES	MNXC15	COPI-coated vesicle
cco:CCO-COPII-VES	MNXC1	COPII-coated vesicle
cco:CCO-CW-BAC	MNXC22	cell wall (sensu Bacteria)
cco:CCO-CW-BAC-NEG	MNXC22	cell wall (sensu Gram-negative Bacteria)
cco:CCO-CW-BAC-POS	MNXC22	cell wall (sensu Gram-positive Bacteria)
cco:CCO-CW-FUNGI	MNXC22	cell wall (sensu Fungi)
cco:CCO-CW-PL-PRIM	MNXC22	primary cell wall (sensu Magnoliophyta)
cco:CCO-CW-PL-SEC	MNXC22	secondary cell wall (sensu Magnoliophyta)
cco:CCO-CW-PLANT	MNXC22	cell wall (sensu Magnoliophyta)
cco:CCO-CYTOPLASM	MNXC3	cytoplasm
cco:CCO-CYTOSOL	MNXC3	cytosol
cco:CCO-EARLY-END-LUM	MNXC1	early endosome lumen
cco:CCO-EARLY-ENDO	MNXC3	early endosome
cco:CCO-EARLY-ENDO-MEM	MNXC1	early endosome membrane
cco:CCO-ELAIOPLAST	MNXC18	elaioplast
cco:CCO-ENDO-LUM	MNXC1	endosome lumen
cco:CCO-ENDO-MEM	MNXC3	endosome membrane
cco:CCO-ENDOCYT-VES	MNXC3	endocytic vesicle
cco:CCO-ENDOSOME	MNXC3	endosome
cco:CCO-ENVELOPE	MNXC1	envelope
cco:CCO-ER	MNXC11	endoplasmic reticulum
cco:CCO-ER-GOLGI-VES	MNXC3	ER-Golgi transport vesicle
cco:CCO-ER-LUM	MNXC11	endoplasmic reticulum lumen
cco:CCO-ER-MEM	MNXC12	endoplasmic reticulum membrane
cco:CCO-ETIOPLAST	MNXC18	etioplast
cco:CCO-EXTRACELL-MAT	MNXC1	extracellular matrix (sensu Animalia)
cco:CCO-EXTRACELLULAR	MNXC2	extracellular space
cco:CCO-GG-CIS-CIST	MNXC15	Golgi cis cisterna
cco:CCO-GG-MED-CIST	MNXC15	Golgi medial cisterna
cco:CCO-GG-TR-CIST	MNXC15	Golgi trans cisterna
cco:CCO-GLYOX-LUM	MNXC1	glyoxysomal lumen
cco:CCO-GLYOX-MEM	MNXC14	glyoxysomal membrane
cco:CCO-GLYOXYSOME	MNXC24	glyoxysome
cco:CCO-GOLGI	MNXC15	Golgi apparatus
cco:CCO-GOLGI-CIST	MNXC1	Golgi cisterna
cco:CCO-GOLGI-ER-VES	MNXC15	Golgi-ER transport vesicle
cco:CCO-GOLGI-LUM	MNXC15	Golgi lumen
cco:CCO-GOLGI-MEM	MNXC16	Golgi membrane
cco:CCO-GOLGI-VES	MNXC15	Golgi vesicle
cco:CCO-IN	MNXC1	in
cco:CCO-INTER-GOLGI-VES	MNXC15	inter-Golgi transport vesicle
cco:CCO-LATE-END-LUM	MNXC1	late endosome lumen
cco:CCO-LATE-ENDO	MNXC3	late endosome
cco:CCO-LATE-ENDO-MEM	MNXC1	late endosome membrane
cco:CCO-LEUCOPLAST	MNXC18	leucoplast
cco:CCO-LYS-LUM	MNXC1	lysosome lumen
cco:CCO-LYS-MEM	MNXC17	lysosomal membrane
cco:CCO-LYSOSOME	MNXC17	lysosome
cco:CCO-LYTIC-VAC	MNXC9	lytic vacuole
cco:CCO-MBODY-MEM	MNXC1	microbody membrane
cco:CCO-MEM-ORG	MNXC1	membrane-bound organelle
cco:CCO-MEMBRANE	MNXC1	membrane
cco:CCO-MICRO-LUM	MNXC1	microbody lumen
cco:CCO-MICROBODY	MNXC3	microbody
cco:CCO-MICROSOME	MNXC1	microsome
cco:CCO-MIT	MNXC4	mitochondrion
cco:CCO-MIT-ENV	MNXC1	mitochondrial envelope
cco:CCO-MIT-IM-SPC	MNXC4	mitochondrial intermembrane space
cco:CCO-MIT-IMEM	MNXC5	mitochondrial inner membrane
cco:CCO-MIT-LUM	MNXC1	mitochondrial lumen
cco:CCO-MIT-MEM	MNXC1	mitochondrial membrane
cco:CCO-MIT-OMEM	MNXC5	mitochondrial outer membrane
cco:CCO-NON-MEM-ORG	MNXC1	non-membrane-bound organelle
cco:CCO-NUC-ENV	MNXC1	nuclear envelope
cco:CCO-NUC-IMEM	MNXC7	nuclear inner membrane
cco:CCO-NUC-LUM	MNXC1	nuclear lumen
cco:CCO-NUC-MEM	MNXC1	nuclear membrane
cco:CCO-NUC-OMEM	MNXC7	nuclear outer membrane
cco:CCO-NUCLEOLUS	MNXC6	nucleolus
cco:CCO-NUCLEUS	MNXC6	nucleus
cco:CCO-ORGANEL-ENV	MNXC1	organellar envelope
cco:CCO-ORGANELLE	MNXC1	organelle
cco:CCO-OUT	MNXC2	out
cco:CCO-OUTER-MEM	MNXC21	outer membrane (sensu Gram-negative Bacteria)
cco:CCO-PERI-BAC	MNXC19	periplasmic space (sensu Gram-negative Bacteria)
cco:CCO-PERI-FUNGI	MNXC19	periplasmic space (sensu Fungi)
cco:CCO-PERINUC-SPC	MNXC6	perinuclear space
cco:CCO-PERIPLASM	MNXC19	periplasmic space
cco:CCO-PEROX-LUM	MNXC1	peroxisomal lumen
cco:CCO-PEROX-MEM	MNXC14	peroxisomal membrane
cco:CCO-PEROXISOME	MNXC13	peroxisome
cco:CCO-PLASMA-MEM	MNXC20	plasma membrane
cco:CCO-PLAST-IM-SPC	MNXC18	plastid intermembrane space
cco:CCO-PLAST-IMEM	MNXC18	plastid inner membrane
cco:CCO-PLAST-OMEM	MNXC21	plastid outer membrane
cco:CCO-PLAST-THY	MNXC1	plastid thylakoid
cco:CCO-PLASTID	MNXC18	plastid
cco:CCO-PLASTID-ENV	MNXC18	plastid envelope
cco:CCO-PLASTID-MEM	MNXC18	plastid membrane
cco:CCO-PLASTID-STR	MNXC18	plastid stroma
cco:CCO-PM-ANIMAL	MNXC1	plasma membrane (sensu Animalia)
cco:CCO-PM-BAC-NEG	MNXC1	inner membrane (sensu Gram-negative Bacteria)
cco:CCO-PM-BAC-POS	MNXC1	plasma membrane (sensu Gram-positive Bacteria)
cco:CCO-PM-BACTERIA	MNXC1	plasma membrane (sensu Bacteria)
cco:CCO-PM-FUNGI	MNXC1	plasma membrane (sensu Fungi)
cco:CCO-PM-PLANT	MNXC1	plasma membrane (sensu Magnoliophyta)
cco:CCO-PROT-PLAST	MNXC1	proteinoplast
cco:CCO-RGH-ER-LUM	MNXC11	rough endoplasmic reticulum lumen
cco:CCO-RGH-ER-MEM	MNXC12	rough endoplasmic reticulum membrane
cco:CCO-RIBOSOME	MNXC3	ribosome
cco:CCO-ROUGH-ER	MNXC11	rough endoplasmic reticulum
cco:CCO-SEC-GRANULE	MNXC3	secretory granule
cco:CCO-SMOOTH-ER	MNXC11	smooth endoplasmic reticulum
cco:CCO-SMTH-ER-LUM	MNXC11	smooth endoplasmic reticulum lumen
cco:CCO-SMTH-ER-MEM	MNXC12	smooth endoplasmic reticulum membrane
cco:CCO-SPACE	MNXC1	space
cco:CCO-STORAGE-VAC	MNXC9	storage vacuole
cco:CCO-SUBORG-CMPT	MNXC1	suborganelle compartment
cco:CCO-SUPER-COMP	MNXC1	super component
cco:CCO-SURFACE-MAT	MNXC1	cell surface matrix
cco:CCO-SYN-VES	MNXC1	synaptic vesicle
cco:CCO-THY-CYA	MNXC1	thylakoid (sensu Cyanobacteria)
cco:CCO-THY-LUM	MNXC1	thylakoid lumen
cco:CCO-THY-LUM-CYA	MNXC1	thylakoid lumen (sensu Cyanobacteria)
cco:CCO-THY-MEM	MNXC1	thylakoid membrane
cco:CCO-THY-MEM-CYA	MNXC1	thylakoid membrane (sensu Cyanobacteria)
cco:CCO-TR-GOLGI-VES	MNXC15	trans-Golgi network transport vesicle
cco:CCO-UNKNOWN-SPACE	UNK_COMP	unknown space
cco:CCO-VAC-LUM	MNXC9	vacuolar lumen
cco:CCO-VAC-MEM	MNXC10	vacuolar membrane
cco:CCO-VACUOLE	MNXC9	vacuole
cco:CCO-VES-LUM	MNXC1	vesicle lumen
cco:CCO-VESICLE	MNXC1	vesicle
cco:CCO-VESICLE-MEM	MNXC1	vesicle membrane
go:0000015	MNXC3	phosphopyruvate hydratase complex|enolase complex
go:0000108	MNXC1	repairosome
go:0000109	MNXC6	nucleotide-excision repair complex
go:0000110	MNXC6	nucleotide-excision repair factor 1 complex|NEF1 complex|XPA-ERCC1-ERCC4 complex
go:0000111	MNXC6	nucleotide-excision repair factor 2 complex|NEF2 complex
go:0000112	MNXC6	nucleotide-excision repair factor 3 complex|NEF3 complex
go:0000113	MNXC6	nucleotide-excision repair factor 4 complex|NEF4 complex
go:0000118	MNXC6	histone deacetylase complex|HDAC complex
go:0000120	MNXC6	RNA polymerase I transcription factor complex
go:0000123	MNXC6	histone acetyltransferase complex|histone acetylase complex
go:0000124	MNXC6	SAGA complex|Spt-Ada-Gcn5-acetyltransferase complex
go:0000125	MNXC6	PCAF complex|SPT3-TAF9-PCAF acetylase complex|PCAF histone acetylase-associated complex
go:0000126	MNXC6	transcription factor TFIIIB complex
go:0000127	MNXC6	transcription factor TFIIIC complex
go:0000131	MNXC1	incipient cellular bud site
go:0000133	MNXC3	polarisome
go:0000136	MNXC16	alpha-1,6-mannosyltransferase complex
go:0000137	MNXC15	Golgi cis cisterna
go:0000138	MNXC15	Golgi trans cisterna
go:0000139	MNXC16	Golgi membrane
go:0000142	MNXC3	cellular bud neck contractile ring|neck ring
go:0000144	MNXC3	cellular bud neck septin ring
go:0000145	MNXC3	exocyst|Sec6/8 complex
go:0000148	MNXC20	1,3-beta-D-glucan synthase complex|1,3-beta-glucan synthase complex|(1->3)-beta-glucan synthase complex
go:0000151	MNXC1	ubiquitin ligase complex
go:0000152	MNXC6	nuclear ubiquitin ligase complex
go:0000153	MNXC3	cytoplasmic ubiquitin ligase complex
go:0000159	MNXC1	protein phosphatase type 2A complex
go:0000164	MNXC3	protein phosphatase type 1 complex
go:0000172	MNXC1	ribonuclease MRP complex|RNase MRP complex|ribonuclease mitochondrial RNA processing complex
go:0000176	MNXC6	nuclear exosome (RNase complex)|nuclear exosome multienzyme ribonuclease complex|eukaryotic exosome multienzyme ribonuclease complex|nuclear exosome (ribonuclease complex)
go:0000177	MNXC3	cytoplasmic exosome (RNase complex)|cytoplasmic exosome multienzyme ribonuclease complex|prokaryotic exosome multienzyme ribonuclease complex|cytoplasmic exosome (ribonuclease complex)
go:0000178	MNXC1	exosome (RNase complex)|exosome (ribonucleasease complex)|exosome multienzyme ribonuclease complex
go:0000180	MNXC1	cytosolic large ribosomal subunit
go:0000181	MNXC1	cytosolic small ribosomal subunit
go:0000214	MNXC6	tRNA-intron endonuclease complex|tRNA splicing endonuclease complex|SEN complex
go:0000219	MNXC1	vacuolar hydrogen-transporting ATPase|V-ATPase
go:0000220	MNXC10	vacuolar proton-transporting V-type ATPase, V0 domain|vacuolar hydrogen ion-transporting ATPase V0 domain
go:0000221	MNXC10	vacuolar proton-transporting V-type ATPase, V1 domain|vacuolar hydrogen ion-transporting ATPase V1 domain
